Warm-up Type,Component,Details,Duration/Sets/Reps,Intensity/Notes,,,
Advanced Body-Sculpting Phase,WEEK 1,Tuesday (heavy upper),Barbell reverse bent row,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Thursday (moderate lower and abs),Barbell front squat,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Thursday (moderate lower and abs),Bulgarian split squat,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Thursday (moderate lower and abs),Barbell hip thrust,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Thursday (moderate lower and abs),Hyperextension,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Thursday (moderate lower and abs),Lying leg curl,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Thursday (moderate lower and abs),Machine standing calf raise,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Thursday (moderate lower and abs),Barbell kneeling rollout,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Thursday (moderate lower and abs),Cable side bend,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Friday (moderate upper),Machine incline press,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Friday (moderate upper),Flat dumbbell fly,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Friday (moderate upper),Lat pull-down,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Friday (moderate upper),Cable wide-grip seated row,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Friday (moderate upper),Dumbbell shoulder press,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Friday (moderate upper),Cable lateral raise,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Friday (moderate upper),Barbell drag curl,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Friday (moderate upper),Dumbbell prone incline curl,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Friday (moderate upper),Machine overhead triceps extension,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Friday (moderate upper),Triceps dip,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Dumbbell reverse lunge,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Single-leg extension,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Cable standing abduction,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Machine seated leg curl,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Reverse hyperextension,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Machine seated calf raise,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Toe press,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Reverse crunch,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Side bridge,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Dumbbell decline press,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Pec deck fly,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Cross cable pull-down,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Cable single-arm standing low row,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Dumbbell upright row,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Cable reverse fly,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Cable curl,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Barbell reverse curl,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Dumbbell overhead triceps extension,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 1,Monday (light lower and abs),Skull crusher,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (heavy lower),Goblet squat,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (heavy lower),Deadlift,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (heavy lower),Leg press,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (heavy lower),Barbell glute bridge,4 or 5,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (heavy lower),Dumbbell stiff-leg deadlift,4 or 5,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Tuesday (heavy upper),Barbell chest press,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Tuesday (heavy upper),Pull-up,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Tuesday (heavy upper),Machine shoulder press,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Tuesday (heavy upper),Barbell reverse bent row,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Thursday (moderate lower and abs),Barbell front squat,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Thursday (moderate lower and abs),Bulgarian split squat,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Thursday (moderate lower and abs),Barbell hip thrust,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Thursday (moderate lower and abs),Hyperextension,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Thursday (moderate lower and abs),Lying leg curl,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Thursday (moderate lower and abs),Machine standing calf raise,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Thursday (moderate lower and abs),Barbell kneeling rollout,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Thursday (moderate lower and abs),Cable side bend,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Friday (moderate upper),Machine incline press,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Friday (moderate upper),Flat dumbbell fly,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Friday (moderate upper),Lat pull-down,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Friday (moderate upper),Cable wide-grip seated row,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Friday (moderate upper),Dumbbell shoulder press,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Friday (moderate upper),Cable lateral raise,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Friday (moderate upper),Barbell drag curl,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Friday (moderate upper),Dumbbell prone incline curl,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Friday (moderate upper),Machine overhead triceps extension,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Friday (moderate upper),Triceps dip,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Dumbbell reverse lunge,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Single-leg extension,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Cable standing abduction,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Machine seated leg curl,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Reverse hyperextension,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Machine seated calf raise,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Toe press,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Reverse crunch,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Side bridge,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Dumbbell decline press,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Pec deck fly,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Cross cable pull-down,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Cable single-arm standing low row,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Dumbbell upright row,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Cable reverse fly,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Cable curl,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Barbell reverse curl,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Dumbbell overhead triceps extension,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 2,Monday (light lower and abs),Skull crusher,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (heavy lower),Goblet squat,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (heavy lower),Deadlift,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (heavy lower),Leg press,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (heavy lower),Barbell glute bridge,4 or 5,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (heavy lower),Dumbbell stiff-leg deadlift,4 or 5,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Tuesday (heavy upper),Barbell chest press,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Tuesday (heavy upper),Pull-up,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Tuesday (heavy upper),Machine shoulder press,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Tuesday (heavy upper),Barbell reverse bent row,5 or 6,3-5,2-3 min,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Thursday (moderate lower and abs),Barbell front squat,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Thursday (moderate lower and abs),Bulgarian split squat,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Thursday (moderate lower and abs),Barbell hip thrust,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Thursday (moderate lower and abs),Hyperextension,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Thursday (moderate lower and abs),Lying leg curl,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Thursday (moderate lower and abs),Machine standing calf raise,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Thursday (moderate lower and abs),Barbell kneeling rollout,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Thursday (moderate lower and abs),Cable side bend,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Friday (moderate upper),Machine incline press,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Friday (moderate upper),Flat dumbbell fly,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Friday (moderate upper),Lat pull-down,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Friday (moderate upper),Cable wide-grip seated row,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Friday (moderate upper),Dumbbell shoulder press,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Friday (moderate upper),Cable lateral raise,3 or 4,8-12,90-120 sec,Sets 1 & 2: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Friday (moderate upper),Barbell drag curl,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Friday (moderate upper),Dumbbell prone incline curl,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Friday (moderate upper),Machine overhead triceps extension,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Friday (moderate upper),Triceps dip,2 or 3,8-12,90-120 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Dumbbell reverse lunge,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Single-leg extension,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Cable standing abduction,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Machine seated leg curl,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Reverse hyperextension,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Machine seated calf raise,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Toe press,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Reverse crunch,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Side bridge,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Dumbbell decline press,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Pec deck fly,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Cross cable pull-down,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Cable single-arm standing low row,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Dumbbell upright row,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Cable reverse fly,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Cable curl,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Barbell reverse curl,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Dumbbell overhead triceps extension,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 3,Monday (light lower and abs),Skull crusher,2 or 3,15-25,30-60 sec,Set 1: RTF 1; Final Set: RTF 0
Advanced Body-Sculpting Phase,WEEK 4,Deload (Monday/Thursday),Dumbbell chest press,2,15-20,2 min,RTF 3
Advanced Body-Sculpting Phase,WEEK 4,Deload (Monday/Thursday),Dumbbell single-arm row,2,15-20,2 min,RTF 3
Advanced Body-Sculpting Phase,WEEK 4,Deload (Monday/Thursday),Military press,2,15-20,2 min,RTF 3
Advanced Body-Sculpting Phase,WEEK 4,Deload (Monday/Thursday),Barbell back squat,2,15-20,2 min,RTF 3
Advanced Body-Sculpting Phase,WEEK 4,Deload (Monday/Thursday),Dumbbell lunge,2,15-20,2 min,RTF 3
Advanced Body-Sculpting Phase,WEEK 4,Deload (Monday/Thursday),Dumbbell stiff-leg deadlift,2,15-20,2 min,RTF 3
,,,,,,,
,,,,,,,
,,,,,,,
Peak Physique Phase,Section,Body region,Sets,Repetitions,Rest interval,Intensity of Effort,
Peak Physique Phase,Summary,"Monday (Back, chest, abs)",3 or 4,6-12,90-120 sec,"Weeks 1-2: All sets except final RTF 1, Final set RTF 0; Week 3: All sets RTF 0",
Peak Physique Phase,Summary,Tuesday (Lower body),3 or 4,6-12,90-120 sec,"Weeks 1-2: All sets except final RTF 1, Final set RTF 0; Week 3: All sets RTF 0",
Peak Physique Phase,Summary,"Wednesday (Shoulders, arms)",2-4,6-12,90-120 sec,"Weeks 1-2: All sets except final RTF 1, Final set RTF 0; Week 3: All sets RTF 0",
Peak Physique Phase,Summary,Thursday (Off),N/A,N/A,N/A,N/A,
Peak Physique Phase,Summary,"Friday (Back, chest, abs)",3 or 4,6-12,90-120 sec,"Weeks 1-2: All sets except final RTF 1, Final set RTF 0; Week 3: All sets RTF 0",
Peak Physique Phase,Summary,Saturday (Lower body),3 or 4,6-12,90-120 sec,"Weeks 1-2: All sets except final RTF 1, Final set RTF 0; Week 3: All sets RTF 0",
Peak Physique Phase,Summary,"Sunday (Shoulders, arms)",2-4,6-12,90-120 sec,"Weeks 1-2: All sets except final RTF 1, Final set RTF 0; Week 3: All sets RTF 0",
,,,,,,,
Peak Physique Phase,Week,Day,Exercise,Sets,Repetitions,Rest interval,Intensity of Effort
Peak Physique Phase,WEEK 1,"Monday/Friday (back, chest, abs)",Reverse-grip lat pull-down,4,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Monday/Friday (back, chest, abs)",Machine seated row,4,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Monday/Friday (back, chest, abs)",Dumbbell pullover,3,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Monday/Friday (back, chest, abs)",Dumbbell incline press,4,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Monday/Friday (back, chest, abs)",Barbell decline press,3,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Monday/Friday (back, chest, abs)",Mid cable fly,3,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Monday/Friday (back, chest, abs)",Hanging knee raise,3,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Monday/Friday (back, chest, abs)",Bicycle crunch,3,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,Tuesday/Saturday (lower body),Barbell front squat,4,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,Tuesday/Saturday (lower body),Dumbbell side lunge,4,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,Tuesday/Saturday (lower body),Sissy squat,3,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,Tuesday/Saturday (lower body),Good morning,4,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,Tuesday/Saturday (lower body),Stability ball leg curl,4,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,Tuesday/Saturday (lower body),Dumbbell single-leg standing calf raise,4,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,Tuesday/Saturday (lower body),Machine seated calf raise,3,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Wednesday/Sunday (shoulders, arms)",Dumbbell shoulder press,4,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Wednesday/Sunday (shoulders, arms)",Cable lateral raise,3,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Wednesday/Sunday (shoulders, arms)",Machine rear deltoid fly,3,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Wednesday/Sunday (shoulders, arms)",Dumbbell biceps curl,3,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Wednesday/Sunday (shoulders, arms)",Cable rope hammer curl,3,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Wednesday/Sunday (shoulders, arms)",Cable rope overhead triceps extension,3,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Wednesday/Sunday (shoulders, arms)",Dumbbell triceps kickback,2,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 1,"Wednesday/Sunday (shoulders, arms)",Close-grip bench press,2,10-12,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
